,0
426,813.2855
427,1817.4944
428,731.56964
429,376.47092
430,683.98016
431,959.06116
432,968.45294
433,178.0739
434,1635.0913
435,1882.2295
436,782.6144
437,627.7914
438,1058.94
439,464.95068
440,1759.6772
441,873.7192
442,637.1102
443,857.9693
444,1608.6718
445,1104.904
446,56.444443
447,1668.1187
448,752.0207
449,1225.4442
450,1586.2029
451,199.7313
452,1376.7678
453,309.22855
454,370.16394
455,1775.0518
456,1879.6173
457,326.78757
458,683.0946
459,771.6222
460,987.52167
461,559.3411
462,1259.9056
463,1593.6239
464,778.0453
465,1002.77094
466,1102.6503
467,1415.5192
468,676.5875
469,81.44577
470,524.1338
471,73.92005
472,1460.1682
473,554.2521
474,1658.6416
475,1087.6172
476,1288.9764
477,999.7706
478,557.6396
479,1289.0891
480,1149.912
481,418.17993
482,1766.7933
483,1237.8501
484,1104.2314
485,634.0702
486,503.19165
487,1701.3024
488,1097.5632
489,536.8733
490,694.31573
491,1988.2012
492,574.2442
493,1342.8992
494,2006.6503
495,1929.2996
496,1370.2688
497,359.46048
498,1671.0789
499,1409.9833
500,1206.5674
501,731.5031
502,1836.961
503,806.8661
504,1437.0823
505,670.2932
506,1990.9182
507,628.24445
508,1320.1256
509,1226.8724
510,289.6245
511,2047.2206
512,1157.2684
513,956.72736
514,1058.9639
515,1881.9476
516,1429.9889
517,825.5108
518,1519.8733
519,1185.3492
520,856.75574
521,814.5524
522,1750.8983
523,1309.3265
524,1122.3469
525,606.6405
526,1841.8904
527,755.16785
528,1809.0192
529,2004.2783
530,1652.781
531,142.74687
532,1305.5338
533,517.47375
534,335.58334
535,1441.3013
536,1355.0059
537,877.02515
538,1943.6984
539,887.1059
540,1193.9373
541,870.2571
542,981.01526
543,938.80084
544,698.94135
545,729.0123
546,992.2818
547,1500.3058
548,1186.8169
549,1181.0828
550,103.79793
551,1293.5662
552,1165.5267
553,1382.9993
554,562.3533
555,454.78152
556,2002.0667
557,1283.3899
558,510.35025
559,1828.7327
560,641.2076
561,1554.6099
562,1364.5353
563,1232.701
564,1532.5503
565,118.119026
566,1753.4136
567,1219.7634
568,451.88397
569,1331.5419
570,993.5319
571,1256.3823
572,1049.4208
573,529.65985
574,343.8388
575,256.7695
576,1451.5522
577,1221.363
578,1332.1586
579,156.26132
580,1636.5784
581,1139.5709
582,1906.9303
583,1069.7827
584,912.9375
585,480.59235
586,1159.8789
587,1157.7573
588,1400.8427
589,1523.1998
590,1429.47
591,1654.9564
592,1800.2684
593,689.573
594,939.43195
595,965.26184
596,397.4157
597,145.13956
598,1038.2441
599,1450.5964
600,1902.6685
601,1513.1543
602,365.3176
603,1273.0531
604,57.819542
605,1665.7146
606,40.64195
607,1605.7249
608,1074.593
609,1436.093
610,417.57376
611,1205.74
612,471.91132
613,60.18946
614,105.998764
615,1194.8112
616,564.13135
617,1390.7543
618,513.337
619,332.44504
620,1207.4291
621,1266.9297
622,1464.6937
623,1902.1958
624,774.42145
625,523.4298
626,1790.5059
627,1642.2413
628,688.03625
629,1683.1829
630,1614.8107
631,1944.6727
